source_text	translation_ko	notes
"Message from Roland. ""General, circumstances permit me to take a hand in the events of this final conflict. I have your spoils of war with me and I will follow your advice explicitly."""	"롤랜드의 전갈. ""장군, 상황이 허락되어 이번 마지막 결전에 나도 직접 참여할 수 있게 되었소. 장군이 거둔 전리품은 내가 가지고 있으며, 장군의 조언을 그대로 따르겠소."""	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Money For Red	빨강에게 줄 돈	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
No Description	설명 없음	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
No gems, crystal, or mercury for red.	빨간색 진영에게 보석, 수정, 수은은 없다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
No one has ever made it out of the deadly swamps alive!	죽음의 늪에 들어가 살아 돌아온 자는 아무도 없다!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
No stuff for red	빨강에게 줄 물자 없음	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
No sulfer fer Yella.	노란색 진영에겐 유황 없다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Notice- Those who put messages in bottles will be tortured.	공지 - 병에 메시지를 넣는 자는 고문한다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Of the necromancers....	네크로맨서들의....	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
One of the seers in your castle comes to you in the morning with urgent news. Your one time comrade, the wizard Joseph, and his armies have been imprisoned in a jail nearby. His power would surely aid you in your quest to reclaim the library, you think to yourself. Perhaps there is a way to rescue him...	아침에 성의 예언자 중 한 명이 급한 소식을 들고 찾아온다. 한때 동료였던 위저드 조셉과 그의 군대가 근처 감옥에 갇혔다고 한다. 그의 힘이라면 도서관을 되찾는 임무에 분명 도움이 될 것이다. 어쩌면 그를 구출할 방법이 있을지도 모른다...	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"One of your ""Allies"" has joined Roland. You are now facing three castles, all belonging to the enemy. Good luck!"	"당신의 ""동맹"" 중 하나가 롤랜드 편에 붙었다. 이제 적이 소유한 성 셋을 상대해야 한다. 행운을 빈다!"	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"One of your ""allies"" has joined Archibald.  You now face an opponent with three castles to your one.  Good luck!"	"당신의 ""동맹"" 중 하나가 아치볼드 편에 붙었다. 이제 당신의 성 하나로 성 셋을 가진 적을 상대해야 한다. 행운을 빈다!"	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
One of your aides reports that the Castle of Farlien is located on the northeast spur of this island, and is a stronghold for the enemy. He urges you to take it out as soon as possible, and then move onto other islands.	부관 한 명이 팔리엔 성이 이 섬 북동쪽 돌출부에 있으며 적의 요새라고 보고한다. 그는 가능한 한 빨리 그곳을 무너뜨린 뒤 다른 섬으로 진출하라고 재촉한다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
One of your scouts reports a tiny cave nearby. Upon investigating, you discover a small cache of goods. In the dirt by them is etched 'Ivan'.	정찰병 한 명이 근처에 아주 작은 동굴이 있다고 보고한다. 조사해 보니 물품을 조금 모아 둔 은닉처가 있다. 옆 흙바닥에는 '이반'이라고 새겨져 있다.	fheroes2 ko.po 참고 번역에서 인명 Ivan을 사용자 정책에 따라 이반으로 교정; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Only a month remains in which to find Joseph. 	조셉을 찾을 수 있는 시간은 한 달뿐이다.	fheroes2 ko.po 참고 번역; trailing_space_normalized; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Orange stuff	주황 물자	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Other than the dragons, the elves don't have any enemies.	드래곤을 빼면 엘프들에게는 적이 없다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Our spies have discovered that the barbarian hordes are now receiving support from kraeger! You must hurry and find the third piece before your forces here are crushed!	첩자들이 바바리안 무리가 이제 크레이거의 지원까지 받고 있다는 사실을 알아냈다! 이곳의 병력이 짓밟히기 전에 서둘러 세 번째 조각을 찾아야 한다!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
POL-2	POL-2	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
POL-3	POL-3	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
POL-4	POL-4	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
POL-5	POL-5	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
POL-6	POL-6	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
POL-7	POL-7	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
POL-8	POL-8	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Paper can gain you what wood and sail cannot.	종이라면 나무와 돛으로 얻지 못하는 것을 얻게 해 줄 수 있다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Powerful magic lies southwest of here in the Valley of the Kings.	이곳 남서쪽 왕들의 계곡에 강력한 마법이 있다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Price Of Loyalty 3	충성의 대가 3	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Price Of Loyalty 5	충성의 대가 5	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Price of Loyalty 2	충성의 대가 2	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Price of Loyalty 6	충성의 대가 6	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Price of Loyalty 7	충성의 대가 7	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Prisoner on....	죄수는...	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Red's Connection	빨강의 연결	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Red's Lunch Money	빨강의 점심값	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Red's Rubles	빨강의 루블	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Regrettably, you have no castle with which to begin your assault. Fortunately, however, Kraeger's forces are weak here in the south, and you have bribed a rebel necromancer to aid you in the beginning of your conquest.	안타깝게도 공격을 시작할 성이 없다. 하지만 다행히도 남쪽의 크레이거 병력은 약하고, 정복 초기에 도움을 주도록 반란 네크로맨서 하나를 매수해 두었다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Rescue your crazy Uncle Ivan. Find him within 4 months or it will be no help to your kingdom.	정신 나간 이반 삼촌을 구출하라. 4개월 안에 찾아야 왕국에 도움이 된다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Restricted Area, Do Not Enter!	제한 구역. 출입 금지!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Retake the Castle of Ivory Gates.	아이보리 게이츠 성을 탈환하라.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Retake the castle of Ivory Gates, which has fallen due to treachery.	배신으로 함락된 상아의 문 성을 되찾으세요.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Scouts report the enemy's stronghold lies to the Southwest. Our swift arrival has caught them by surprise. If you move quickly their resistance will be minimal.	정찰병들은 적의 요새가 남서쪽에 있다고 보고한다. 우리가 빠르게 도착해 적은 기습을 당한 상태다. 서두르면 저항은 미미할 것이다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"Scouts report the notorious necromancer ""Wyrm"" has been sighted to the northeast."	"악명 높은 네크로맨서 ""웜""이 북동쪽에서 목격됐다고 정찰병들이 보고한다."	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Searching in the dust of this abandoned campsite, you find a magic scroll.	버려진 야영지의 먼지를 뒤지다 마법 두루마리 하나를 발견한다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Seek the great library, for only with the guidance of the musty tomes therin will you find the means to reveal and bind the fount to your will.	위대한 도서관을 찾아라. 그곳의 먼지 쌓인 고서의 인도가 있어야만 샘을 드러내고 당신의 뜻에 묶을 방법을 찾을 수 있다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Snagged on a thorny bush, you discover a scrap of cloth. The design on it looks like the coat of arms of Ivan's house!	가시덤불에 걸린 천 조각을 발견한다. 무늬를 보니 이반 가문의 문장과 닮았다!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
So you think you're smart?	그래서 네가 똑똑하다고 생각하나?	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Some unlucky adventurers have been captured and imprisoned in these lands.	운 나쁜 모험가 몇 명이 이 땅에서 붙잡혀 감옥에 갇혔다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"Someone notices a piece of parchment lying behind a clump of grass. You pick it up. It looks to be a page from a journal, and it reads, ""...made it past the first guardians. Hopefully will reach the ancient desert city soon. Only hope my forces are strong enough to survive..."""	"누군가 풀숲 뒤에 떨어진 양피지 조각을 발견한다. 집어 보니 일지의 한 페이지 같다. 이렇게 적혀 있다. ""...첫 번째 수호자들을 지나왔다. 곧 고대 사막 도시에 도착하길 바란다. 내 병력이 살아남을 만큼 강하기만을 바랄 뿐..."""	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Sorceress Forest.  Show respect for nature!	여마법사의 숲. 자연을 존중하라!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Spies report Roland has sent a hero to search for the Crown. If he finds it first, all is lost!	첩자들이 롤랜드가 왕관을 찾으라고 영웅 하나를 보냈다고 보고한다. 그가 먼저 찾으면 모든 것이 끝이다!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Stuff For Yellow	노랑용 물자	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Stuff for Yellow	노랑용 물자	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Stuff for red	빨강용 물자	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The Eastern Town.	동쪽 마을.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The Emerald Isle	에메랄드 섬	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The Enchanted Forest.	마법에 걸린 숲.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The Epic battle against Your Rival! Eliminate everything! Total Warfare! Don't Lose your first hero!	숙적과 벌이는 장대한 전투! 모조리 제거하라! 전면전이다! 첫 영웅을 잃지 마라!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The Isle of Armoria	아르모리아 섬	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The Kingly Wastes	왕의 황무지	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The Kings Road.	왕의 길.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The North Road to Roland's castle.	롤랜드의 성으로 가는 북쪽 길.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The Queen's Road.	여왕의 길.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The River Styx	스틱스강	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The Rock Store.	바위 상점.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The Royal Gardens.	왕실 정원.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The Valley of Aruk.	아루크의 계곡.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The Wizards who have captured the Necromancers' town have wasted no time in building defenses designed to stop you, and their last castle has just been completed. Fortunately only a Captain of the Guard and a small garrison are currently present.  If you hurry, you should be able to capture the castle before they have a chance to reinforce it!	네크로맨서들의 마을을 점령한 위저드들은 지체 없이 당신을 막기 위한 방어 시설을 세웠고, 방금 마지막 성까지 완성했다. 다행히 지금은 경비대장과 소수의 수비대만 주둔하고 있다. 서두른다면 적이 증원군을 보내기 전에 성을 점령할 수 있을 것이다!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The castle of Drakonran in the east has been taken by the barbarians! Two other towns to the west have also been taken, but the barbarian armies were fairly decimated in the process.	동쪽의 드라콘란 성이 바바리안에게 함락됐다! 서쪽의 다른 마을 두 곳도 빼앗겼지만, 그 과정에서 바바리안 군대도 상당히 궤멸했다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The cities of the plains.	평원의 도시들.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The convoy has at long last arrived. Regretably, it has been beset by bandits on its journey here, and has far less supplies than we had hoped. Make your way south, for our spies have found rich mines there.	수송대가 마침내 도착했다. 안타깝게도 오는 길에 도적들의 습격을 받아 기대했던 것보다 보급품이 훨씬 적다. 남쪽으로 향하라. 첩자들이 그곳에서 풍부한 광산을 발견했다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The convoy should have been here by now! Let us hope that it is safe and still on its way.	수송대는 벌써 도착했어야 한다! 무사히 아직 오고 있는 중이기를 바라자.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The country lords have allied and pooled their resources into one command. Not only have they massed their forces in the north, but they have sent a knight to the west to steal your supplies. Scouts report a castle to the east that would be ideal as a base of operations.	지방 영주들이 동맹을 맺고 자원을 하나의 지휘부 아래 모았다. 북쪽에 병력을 집결시켰을 뿐 아니라 서쪽으로 기사 하나를 보내 당신의 보급품을 훔치게 했다. 정찰병들은 동쪽에 작전 기지로 쓰기에 이상적인 성이 있다고 보고한다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The diplomats who were sent here ahead of you report that the elves will only cooperate with you if you will recover the golden bow for them. It was stolen by their enemies, the Dragons and hidden behind magic barriers.	당신보다 먼저 이곳에 온 외교관들이 엘프들은 황금 활을 되찾아 줘야만 협력하겠다고 보고한다. 그 활은 적인 드래곤들이 훔쳐 마법 장벽 뒤에 숨겨 두었다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The first piece of the artifact now lies in the hands of the Unholy Order of Warlocks. You must annihilate them, and their allies to the north. They will surely give us what we seek in exchange for their feeble lives.	유물의 첫 번째 조각은 이제 불경한 흑마법사 기사단의 손에 있다. 그들과 북쪽의 동맹을 전멸시켜야 한다. 목숨만 살려 준다면 우리가 찾는 것을 순순히 내놓을 것이다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The guardians of Dragon Isle reside in the jungle.	드래곤 섬의 수호자들은 정글에 산다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The island....	그 섬...	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The islands have much wealth.	이 섬들에는 많은 부가 있다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The note in this bottle has become mostly indecipherable. All you can make out are references to deadly pirates, and hidden gold mines.	이 병 속 쪽지는 대부분 알아볼 수 없게 됐다. 간신히 읽을 수 있는 것은 치명적인 해적들과 숨겨진 금광에 관한 언급뿐이다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The third piece of the artifact is somewhere to the north, that much we know. We are still unsure of its exact location, but our spies are out gathering information. The forces in this area are too strong to be completely subjugated, so take what you can and hold on to it tightly.	유물의 세 번째 조각은 북쪽 어딘가에 있다. 그 정도는 알아냈다. 정확한 위치는 아직 확실치 않지만 첩자들이 정보를 모으고 있다. 이 지역의 세력은 완전히 굴복시키기엔 너무 강하니, 차지할 수 있는 만큼 차지하고 단단히 지켜라.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The way of might	힘의 길	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The way of numbers	숫자의 길	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The western town.	서쪽 마을.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
The writing on this sign is too faded to read.	표지판의 글씨가 너무 바래서 읽을 수 없다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
There are remnants of a mighty battle fought here, not too long ago. It looks as if whoever came this way may have made this their final stop.	이곳에는 그리 오래되지 않은 시기에 벌어진 거대한 전투의 흔적이 남아 있다. 이 길을 지나간 자들은 여기서 마지막 여정을 맞은 듯하다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
There was a shipreck in the far east waters recently.	최근 먼 동쪽 바다에서 난파 사고가 있었다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
There's a Wizard living in the north who is behind this peasant revolt.	북쪽에 사는 위저드 하나가 이번 농민 반란의 배후에 있다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
These lands are beholden to Lord Kraeger.	이 땅은 크래거 경의 지배를 받는다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
These lands are desolate and for the most part devoid of resources. Not even the bravest heroes dare to venture into them, and plants are rare and precious here. Who knows what else awaits?	이 땅은 황량하고 자원도 거의 없다. 가장 용감한 영웅조차 이곳에 들어오려 하지 않으며, 식물은 드물고 귀하다. 그 밖에 무엇이 기다리고 있을지는 아무도 모른다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
This area is rich in resources. Explore, but beware, a castle left undefended will quickly fall.	이 지역은 자원이 풍부하다. 탐험하되 조심하라. 방비가 없는 성은 순식간에 함락된다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
This area must be secured for the sake of the Empire. Our spies have reported a discord between The kingdom of the knights to the north, and that of the oppressive sorceresses to the northeast. Perhaps this feud can be exploited for our gain...	제국을 위해 이 지역을 확보해야 한다. 우리 첩자들에 따르면 북쪽의 기사 왕국과 북동쪽의 폭압적인 여마법사 왕국 사이에 불화가 생겼다고 한다. 이 갈등을 우리 이익에 이용할 수 있을지도 모른다...	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
This bottle is empty.	이 병은 비어 있다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
This is the final battle against your rival kingdom of Harondale. Eliminate everyone, and don't lose the hero Jarkonas VI.	경쟁국 하론데일과의 최종 전투입니다. 모두 제거하되 영웅 자르코나스 6세를 잃지 마세요.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
This is the last week you have to find the rebel wizard Joseph! Good Luck in your quest.	반란 위저드 조셉을 찾을 수 있는 마지막 주다! 임무에 행운이 있기를.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
This land and all others are now under the sole ownership of Ibn Fadlan, the Undead King. Any disregard for his magesty's soverign rule is to be punished by death most horrendous.	이 땅과 다른 모든 땅은 이제 언데드 왕 이븐 파들란의 단독 소유다. 폐하의 주권을 무시하는 자는 가장 끔찍한 죽음으로 처벌한다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
This land has been claimed by the nation of Neroli. Interlopers are UNWELCOME.	이 땅은 네롤리 국가가 차지했다. 침입자는 환영하지 않는다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
This rundown village looks like it was once the epicenter of an enormous, but now ruined, city. Under a pile of rubble you find an object which looks like it has lain there for ages.	이 쇠락한 마을은 한때 거대한 도시의 중심지였던 듯하지만 지금은 폐허뿐이다. 잔해 더미 아래에서 아주 오랫동안 그곳에 묻혀 있었던 듯한 물건 하나를 발견한다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
"This village appears to be in little better shape than the first one you saw. As you approach the village an old man hands you a slip of paper, with the following message, ""Joseph lives in the town of IslandHome."""	"이 마을도 처음 본 마을보다 나을 것이 없어 보인다. 마을에 다가가자 노인이 종이쪽지를 건넨다. 거기에는 이렇게 적혀 있다. ""조셉은 아일랜드홈 마을에 산다."""	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
This village is in extremely poor shape. There is no chance of getting more than some of the lesser creatures here.	이 마을은 상태가 매우 나쁘다. 여기서는 하급 생물 몇 마리 이상을 얻을 가능성이 없다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
This way to the Necromancer Forest.	이쪽은 네크로맨서 숲으로 가는 길이다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Those who seek knowledge are welcome to the city of Chronos.	지식을 구하는 자는 크로노스 시에서 환영받는다.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Trespassers will be EATEN!	침입자는 잡아먹는다!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Turn Back Now or all will be LOST!	지금 돌아가지 않으면 모든 것을 잃는다!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Turn Back Now!	지금 돌아가라!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Turn Back or DIE!	돌아가라, 아니면 죽는다!	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Unite the Tribes. Don't lose your main hero, the first Descendant.	부족들을 통합하라. 주 영웅인 첫 번째 후손을 잃지 마라.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Valley Of The Damned	저주받은 자들의 계곡	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
Valley of the Kings.	왕들의 계곡.	fheroes2 ko.po 참고 번역; exact; 문체/용어 검토 필요; commit 29d0a76ceb26d57e9f134b6d682ac857acecfad4
